,Text,Account Tags,Hashtags,Sentiment,Emotions
70," . is here to announce #ClimateChampions - a way for fans to help our planet through games and challenges! 🌍 Watch Nandi's music video protesting against climate change 👉 

#CartoonNetwork EarthDay EarthDay2022 #RedrawYourWorld ","cartoonnetwork,Nandi_Bushell","ClimateChampions,CartoonNetwork,EarthDay,EarthDay2022,RedrawYourWorld",NEGATIVE,optimism
75," Happy EarthDay! 
Today is the reminder of our goal to limit global warming to 1.5°C and halve our emission by 2030!

Make everyday to be EarthDay 🌎🌍🌏🌳 ",EarthlingEco,"EarthDay,EarthDay",POSITIVE,joy
83," Happy EarthDay, everyone! If you're still looking to get involved somehow, we've got tons of things happening in #HermannPark for our Earth Month festivities.

Learn how you can give back before April wraps up: 

Thank you, Earth! 🌍😎

📷 theartofjon ",HermannPark,"EarthDay,HermannPark",POSITIVE,joy
85," When you’re a person and litter, you get a fine.

When you’re an oil exec and destroy our planet, you get billions in taxpayer subsidies every year.

Protect our 🌎 on EarthDay 

Stop electing oil lobbyist-owned politicians.
Hold polluters accountable.
Realize a #GreenNewDeal",DarrigoMelanie,"EarthDay,GreenNewDeal",NEGATIVE,anger
87, Happy EarthDay from  4th grade team! 🌍  ,"BrunosClass,PrideRidge,Lewski17,Mrsyates272",EarthDay,POSITIVE,joy
99," EarthDay is a chance to reevaluate our relationship with #nature. It's time to start giving back to the planet we owe everything to. 🌎🌏🌍

#MotherEarth is sending us a message. Are we prepared to listen?

Via 

#ForNature

","UNBiodiversity,ConservationOrg","EarthDay,nature,MotherEarth,ForNature",POSITIVE,optimism
101," Happy Earth Day! 🌎🌍🌏

In 1991-92, ECO-WARRIORS were unleashed! Do you have ECO-WARRIOR memories???

#gijoe #earthday #tbt #cobra #ecowarriors #tttmu #90stoys #nostalgia #80stoys #90stoys #actionfigures ",TheFinestCC,"gijoe,earthday,tbt,cobra,ecowarriors,tttmu,90stoys,nostalgia,80stoys,90stoys,actionfigures",POSITIVE,joy
111," Securing a sustainable access to raw materials like Rare Earth Elements (REE) is crucial for a strong #EU industry, its growth &amp; competitiveness 🏭📈

These #H2020 projects managed by #HaDEA contribute to make it happen 👉 

EarthDay💚 ",EU_HaDEA,"EU,H2020,HaDEA,EarthDay",POSITIVE,optimism
127,"Happy EarthDay, from all of us at Mile High Acura! 🌍 ",Uknown,EarthDay,POSITIVE,joy
130," Nature offers so much more than what it asks in return, let us show gratitude and act accordingly. Harming nature is harming ourselves. Happy #Earthday 🌱🌻☀️🌎🤝! ",Hybrid_19,Earthday,NEGATIVE,optimism
133,"Wonderful to see this in Kathmandu. 
This is our time on the planet. If we do not speak now when will we? 🔊   
#SaveSoil 🌍🌱Let's make it happen!🙏
#ConsciousPlanet #JourneyForSoil #UNCCDCOP15  #माटो_जोगाऔँ  EarthDay ","PM_nepal_,hamrorabi","SaveSoil,ConsciousPlanet,JourneyForSoil,UNCCDCOP15,EarthDay",POSITIVE,optimism
138,"Being the Best You starts with Being the Best to our Planet. Do Good; Recycle, Reuse, and Refill where ever you can.  Cheers to Momma Earth... this one's for you! 🌎  EarthDay ",Uknown,EarthDay,POSITIVE,optimism
146, Ran into  this morning!! Loved meeting you 🤙 Happy EarthDay ,"NCTsmtown_127,lildickytweets",EarthDay,POSITIVE,joy
149," Looking for a last minute idea to celebrate EarthDay? 

We highly recommend volunteering for a Litter Blitz cleanup. Or, if you're feeling really ambitions, you can organize you own. 😉

Learn more at  

#BaltCoLitterBlitz #CleanGreenBaltCo ",BaltCoGov,"EarthDay,BaltCoLitterBlitz,CleanGreenBaltCo",NEGATIVE,optimism
151,"This EarthDay, I’m especially proud of my constituent Martine who has been recognised by  Awards for her fantastic efforts in campaigning for urgent #ClimateAction.

🌎 The time is now to come together to protect our planet and tackle the energy and climate crisis. ",YourUKParl,"EarthDay,ClimateAction",POSITIVE,optimism
153," This EarthDay, let's put the planet before profits! 🎨  by  ","greenpeaceusa,t_b_toro",EarthDay,NEGATIVE,optimism
154," Today is EarthDay 🌎🌍🌏

Burning fossil fuels like oil, coal and natural gas causes air pollution.

#InvestInOurPlanet: Keep fossil fuels in the ground for #HealthierTomorrow - a healthy planet &amp; a healthy me. ",WHO,"EarthDay,InvestInOurPlanet,HealthierTomorrow",NEGATIVE,optimism
155, Teamed up w/  to celebrate the planet for Earth Day 🌱 check out my latest mural on 190 N. state st 🌎#planetpossible ,"sentrock,NatGeo",planetpossible,NEGATIVE,joy
156,"Happy Earth Day from our favorite place in the world! 💙🌎🐏

EarthDay2022 | #GoHeels ",Uknown,"EarthDay2022,GoHeels",POSITIVE,joy
159," Happy EarthDay Berkeley! 

Reminder: transportation is the largest source of greenhouse gas emissions in Berkeley. 

So, what better way to honor EarthDay than by walking or rolling through our lovely community! 

🚲 👩‍🦼🛴🚶🏾‍♀️🌎 ",WalkBikeBerk,"EarthDay,EarthDay",POSITIVE,joy
161," We have written to Zomato,Swiggy, Amazon , flipkart, supermarkets, hotels and industries to stop using single use plastic in their packaging in Tamil Nadu. Happy earth Day 🌱 EarthDay #happyEarthDay2022 #stopplasticpollution #manjappai ",supriyasahuias,"EarthDay,happyEarthDay2022,stopplasticpollution,manjappai",NEGATIVE,joy
162," It's Earth Day EarthDay EarthDay2022 🌎

#Art by Joe Keinberger ",deathbyhibachi,"EarthDay,EarthDay2022,Art",NEGATIVE,joy
163," GOP gutted the EPA, eroded emissions standards, and pledged their allegiance to fossil fuels expanding federal land and water available for oil and gas drilling.

🌎🌱We can do better! We have to do better! We will VOTE BLUE! EarthDay

#Fresh #ONEV1 #ResistanceUnited ",aleshadalin,"EarthDay,Fresh,ONEV1,ResistanceUnited",NEGATIVE,optimism
164, Happy EarthDay 🌎 celebrate all the beautiful inhabitants of Earth today by learning about your favorite animals &amp; how you can be a good neighbor to them with us 🐾 ,JusttheZooofUs,EarthDay,POSITIVE,joy
166," Happy EarthDay #NASAEarthling 🌎We're engaging w/industry, academia, &amp; other agencies to accomplish the aviation community’s goal of net-0 carbon emissions by 2050. How? 3 areas: advanced vehicle tech, efficient airline ops, &amp; sustainable aviation fuels.
 ",NASAaero,"EarthDay,NASAEarthling",POSITIVE,optimism
169," 🌍 HAPPY EARTH DAY 🌟 Our earth is super important and is a huge part of who we are, so lets keep it safe and celebrate it ❤ #happyEarthDay2022 EarthDay EarthDay2022 #EarthHour #belfasthour #ArtistOnTwitter ",JordainMGillen,"happyEarthDay2022,EarthDay,EarthDay2022,EarthHour,belfasthour,ArtistOnTwitter",POSITIVE,joy
171,"Happy EarthDay from the Colorado River at Lees Ferry, AZ! Get  data right at your fingertips from #NWIS Modernization! 📲  ",USGS_Water,"EarthDay,NWIS",POSITIVE,joy
173," Happy EarthDay! 🌎

In Congress I will support the #GreenNewDeal framework because it’s the bold kind of progressive policy that we need to protect and preserve Missouri’s natural resources.🌱

My Republican opponent still denies that climate change exists.

The choice is clear. ",RayReedMO,"EarthDay,GreenNewDeal",POSITIVE,optimism
180," Playing with my dear friend on Earth Day ❤ His dung plays a huge role in maintaining the richness of the soil 

#MyConnectwithSoil ",Jayanth_tweets,MyConnectwithSoil,NEGATIVE,joy
182, We’ve got a special guest on this EarthDay edition of #AskStateAnything! Please welcome  John Kerry to tell us all about what the United States is doing to combat the climate crisis. 🌎🌡️ ,"StateDeputySpox,ClimateEnvoy","EarthDay,AskStateAnything",POSITIVE,optimism
183, Happy EarthDay! 🌎🌱💖 Do you have any eco-friendly tips? Share them below! ⬇️ ,hellokitty,EarthDay,NEGATIVE,joy
184,"  It’s “Earth Day” Please post pictures of Can with flowers 💐🌷🌹🥀🌺🌸🌼🌻 # #CanYamanForChildrenEarthDay 
#UnAlberoPerIlFuturo ","yoraliz,1965Magnolia","CanYamanForChildrenEarthDay,UnAlberoPerIlFuturo",NEGATIVE,joy
188," I'm Gonna Giving Away this #83 TV Head. On EarthDay 🌏🌳💚

1. Follow
2. Like
3. Retweet

::::::::::::::::::::::::
TV Heads Collection 👇


#Algorand #algofam #algonfts #algofam #AlgoNFT #ALGONFTs #Algorand #ALGO #algorandairdrop #nftart #NFTartist #NFTs ",TvHeadDan,"83,EarthDay,Algorand,algofam,algonfts,algofam,AlgoNFT,ALGONFTs,Algorand,ALGO,algorandairdrop,nftart,NFTartist,NFTs",NEGATIVE,joy
192," Happy EarthDay! 🌏 More than 2000 years ago, the Greek mathematician Eratosthenes found a way to measure the radius of Earth just using shadows, angles, and simple geometry. Learn more at  ",MathigonOrg,EarthDay,POSITIVE,joy
199,May we come to our senses &amp; become good stewards of this wondrous planet we share. EarthDay 🌎💚🙏 ,Uknown,EarthDay,POSITIVE,optimism
200,"This EarthDay,  is proud to announce the official launch of Earth Centre - the Alliance’s new Montreal headquarters that will also function as an environmental art exhibition space! 🌎🧡
 ",AgeofUnion,EarthDay,POSITIVE,joy
201," 𝐇𝐚𝐩𝐩𝐲 𝐄𝐚𝐫𝐭𝐡 𝐃𝐚𝐲! #Metaverse and Earth all need our love and support. To celebrate the day, we release a special #badge for all

⏰12 PM UTC April 22
🎁#BovineVerse Earth Guardian Badge #NFT

How to get NFT:
▶️

EarthDay #NFTCommunity #crypto ",BovineVerse,"Metaverse,badge,BovineVerse,NFT,EarthDay,NFTCommunity,crypto",NEGATIVE,joy
202,"This EarthDay we are sharing some quick tips to make a difference today and every day of the year :

🌎 Pick up any garbage while on a walk
🌎 Calculate your plastic consumption
🌎 Switch to reusable bags
🌎 Organize a community cleanup
🌎 Buy local food ",Uknown,EarthDay,NEGATIVE,optimism
203," 🌍🌱
EarthDay
80% of Greenhouse Gasses are Associated with Livestock Production.
We Must Fight Climate Change with Diet Change!





The connection between our food systems and #ClimateChange.. ","Pamela49986311,BorisJohnson,DefraGovUK,ZacGoldsmith,AlokSharma_RDG,APHAgovuk","EarthDay,ClimateChange",NEGATIVE,optimism
208,"Happy EarthDay! 🌎 Below are just a few ways we're utilizing sustainable solutions to help take care of this incredible planet we call home. 💚 ♻️ 🌱 

Water Bottle Refill Stations
Recycling Program
Urban Beehive
Electric Vehicle Charging Stations

More:  ",Uknown,EarthDay,NEGATIVE,joy
212,"🌎This EarthDay, electric vehicles are on the precipice of mainstream adoption.",Uknown,EarthDay,NEGATIVE,optimism
215," Happy Earth Day 🌎🌍🌏💙💚 - Proud  holder of an actual “blue” chip 🌊  • by encouraging community beach cleanups, and donating to different organizations dedicated to #savetheocean ❕Blub 🌊🐠 ","nft_cross,fishyfamNFT",savetheocean,POSITIVE,joy
239," Happy Earth Day from beautiful San Marcos! 🌎🌱

EarthDay #EatEmUp #TXST ",TxStateBobcats,"EarthDay,EatEmUp,TXST",POSITIVE,joy
246,"Inspired by true events, each book in 's new Surviving the Wild series includes facts about climate change, animals, and how kids can help protect the environment 🐘🐨  EarthDay ",Remy_Lai,EarthDay,POSITIVE,joy
254," Hope you woke up today ready to play! 🎵

On this beautiful EarthDay 🌎

🎶It’s a free BIKETOWN ride weekend.  

So go on a ride with a friend. 🎵

April 22-24, unlimited 60 min trips! 

Open the  to ride.📲  

⁦⁩ ⁦ #pdx ","BIKETOWNpdx,PBOTinfo,BikePortland","EarthDay,pdx",POSITIVE,joy
256,"Happy Earth Day!!! 🌎🌍🌏

Now go listen to this epically beautiful track ""Earth Day"" by ! 

EarthDay22 #Metal #music",dvntownsend,"EarthDay22,Metal,music",POSITIVE,joy
262,"Today, Earth Buddies in bengaluru witnessed the best earth day ever!💚 A day filled with joy, dance, contact with the earth and most importantly with soil. #savesoil Let's Make It Happen🥳👏🏻🎉 ",Uknown,savesoil,POSITIVE,joy
264," This EarthDay, we are redoubling our commitment to bold actions led by  to deploy affordable clean energy, reduce climate pollution, and protect our lands for future generations. Together, we’re building a better America. 🌎 #InvestInOurPlanet ","SecretaryPete,POTUS","EarthDay,InvestInOurPlanet",POSITIVE,optimism
272," Happy EarthDay! 🌏🌿🐨🐅🌼

Investing in the health of our planet provides a foundation to build resilient communities for people &amp; #ForNature. 

's 8th funding cycle will scale up efforts to tackle #biodiversity loss, #climatechange, &amp; more:  ","theGEF,theGEF","EarthDay,ForNature,biodiversity,climatechange",POSITIVE,optimism
273," At the most recent #SkollWF, Ugandan climate activist and Forum session speaker  expressed, “We cannot have climate justice if the voices of the most affected people are not being listened to.” View the entire session:
▶️  EarthDay  ","SkollFoundation,Vanessa_Vash,Riseupmovt","SkollWF,EarthDay",NEGATIVE,optimism
283," Respect. Protect. Love the ocean. 🌊

Get out there and do a little of all three today. Happy Earth Day!

#earthday #scubadiver #oceanconservation ",AquaLungDivers,"earthday,scubadiver,oceanconservation",POSITIVE,joy
285, 😁 Happy Earth day :)) #SaveSoil #ConsciousPlanet ,ShekyIhs,"SaveSoil,ConsciousPlanet",NEGATIVE,joy
290," Appreciate the beautiful planet we live on today. 🌎 EarthDay 

via Jujutsu Kaisen ",VIZMedia,EarthDay,POSITIVE,joy
294,"Free Charge! 😁 
Happy Earth Day 🌎 

#ChargeonEarth #Earthday #Promotion ",ElectrifyAm,"ChargeonEarth,Earthday,Promotion",NEGATIVE,joy
304," What do you think about our plans to create a #NationalForest the length and breadth of Wales?

It will protect nature, and also support our own health and wellbeing.

This EarthDay, help us tackle the climate crisis by planting your own tree 👇
 ",WelshGovernment,"NationalForest,EarthDay",POSITIVE,optimism
308," Today is EarthDay - but we hope that every day is Earth Day to Blinks! 🌍

🌱Use Ecosia to plant trees while you search:
 

🌱 Watch 's speech:


🌱 Watch 'Stay' on Dear Earth:


EarthDay2022 ","BPUNIONOFFICIAL,BLACKPINK","EarthDay,EarthDay2022",NEGATIVE,joy
309," Happy EarthDay!
At #GreenHope, we believe in EarthDayEveryday! Our amazing members in Liberia🇱🇷planted coconut trees to celebrate EarthDay2022!🌍🥥🌴
#SDG2 #SDG13 #SDG15 #LastDecadeOfAction #Agenda2030 #LeaveNoOneBehind ",KehkashanBasu,"EarthDay,GreenHope,EarthDayEveryday,EarthDay2022,SDG2,SDG13,SDG15,LastDecadeOfAction,Agenda2030,LeaveNoOneBehind",POSITIVE,joy
318, 📰MY SPECIAL GUEST COLUMN FOR EarthDay: “We deserve a Democrat in Congress who is unbought by the fossil fuel industry and billionaire super PACs and clear-eyed about solving the greatest challenge facing humanity: the climate emergency.” Join our campaign. #ClimateCantWait ,Canning4Oregon,"EarthDay,ClimateCantWait",POSITIVE,optimism
319, The creativity and enthusiasm of the Hytale community continues to inspire us as we work to bring the world of Orbis to life. Happy Earth Day from all of us at Hypixel Studios! 🌎🌱 #Hytale ,Hytale,Hytale,POSITIVE,joy
326," Happy Earth Day y'all! 💚 🌎 ♻️ 

 x #TrueToAtlanta ","ATLHawks,Novelis",TrueToAtlanta,POSITIVE,joy
327," Happy EarthDay from your favorite Environmentalist! 🌳🌍 I’m so excited to be able to say that The Environmental ABCs have crossed the Atlantic and is available for preorder in #TheGambia 🇬🇲. If you’re interested in securing your copy, please call 9953100 &amp; ask for Mariama 🙏🏿 ",aja24seven,"EarthDay,TheGambia",POSITIVE,joy
330,"Happy EarthDay  🌳Art🎨
ArtistCaroleJMcCoy  
“Earth Is The Biggest Celebrity”, 
we should all be a fan of with our care. Keep the #earth a beautiful paradise for generations to come.
#ClimateActionNow 
     ","CJtheFineArtist,ClimateEnvoy,EarthDay,greenpeaceusa,UNFCCC,NASAClimate","EarthDay,earth,ClimateActionNow",POSITIVE,joy
332," Happy EarthDay! 

Today comes with a humble reminder:
 findings indicate current policies and political pledges still lead to warming outcomes of over 2°C in 2100🌡️

It's time to #InvestInOurPlanet 

#ClimateCrisis EarthDay2022 #Carbon

 ","UoCClimate,ParisReinforce","EarthDay,InvestInOurPlanet,ClimateCrisis,EarthDay2022,Carbon",POSITIVE,optimism
335," ""We need to wean ourselves off fossil fuels,"" says , co-founder of , in this panel session footage from the Skoll World Forum. Here's where you can see the whole panel discussion:
▶️  
EarthDay #SkollWF #ClimateCrisis ","SkollFoundation,Paddy_Alley,Global_Witness","EarthDay,SkollWF,ClimateCrisis",NEGATIVE,optimism
336," Elmo loves the Earth! Especially when the Earth is Elmo's friend Mr. Paul Rudd, ha ha ha! Happy EarthDay! 🌍 ",elmo,EarthDay,POSITIVE,joy
340," Muddy Buddy for #MyConnectWithSoil 🌱🙏🏻

  EarthDay2022 EarthDay #ConsciousPlanet ","khandani_yogi,cpsavesoil,SadhguruJV","MyConnectWithSoil,EarthDay2022,EarthDay,ConsciousPlanet",NEGATIVE,joy
346,"Pt. Jawaharlal Nehru ji planting a tree, Aarey Milk Colony, Bombay, 4 March 1951. 

Planting for the future

#JawaharLalNehru
#आज़ादी_गौरव_यात्रा 🇮🇳 #WorldEarthDay EarthDay #SaveEarth #SaveEnvironment #PlantTrees ",Uknown,"JawaharLalNehru,WorldEarthDay,EarthDay,SaveEarth,SaveEnvironment,PlantTrees",NEGATIVE,optimism
364," 💚 𝗥𝗧 + 𝗖𝗢𝗠𝗠𝗘𝗡𝗧 "" 🌎  "" to win a BRAND-NEW, LIMITED-EDITION #GFUEL ""EARTH DAY"" BUNDLE!!! Picking 2 winners this weekend to celebrate EarthDay!!!

🛒 𝗚𝗘𝗧 𝗬𝗢𝗨𝗥𝗦:  ",GFuelEnergy,"GFUEL,EarthDay",POSITIVE,joy
367," Happy Earth Day, #LillyTribe.  We're going to make it better, together.  💜💙💜

#InvestInOurPlanet $Ly ",LillyFinance,"LillyTribe,InvestInOurPlanet",POSITIVE,joy
375,"The healthier our ecosystems are, the healthier the 🌍 &amp; its people. Restoring our damaged ecosystems will help to end poverty, combat climate change &amp; prevent mass extinction. But we will only succeed if everyone plays a part,” the UN states. #motherearth ",Uknown,motherearth,NEGATIVE,optimism
377,Happy EarthDay today and everyday! 🌍 ,Uknown,EarthDay,POSITIVE,joy
380," Happy Earth Day🌎
Give your neighborhood a little love today. Take a bag with you on your walk and pick up some litter. Every little bit helps❤️

#earthday #repost #kind #southshorema #plymouthma #madeinmass ",AtticBean,"earthday,repost,kind,southshorema,plymouthma,madeinmass",POSITIVE,joy
382," 220422 | roses_are_rosie IG: ""
Appreciating the days that we can enjoy taking breathtaking pictures of this beautiful earth we live in without any filter. I hope we can all join hands to save our planet. Happy Earth Day everyone 🌱🌏

EarthDay2022 #InvestInOurEarth #지구의날2022 ",glamorosePH,"EarthDay2022,InvestInOurEarth",POSITIVE,joy
389," Congratulations on such a green initiative! Not only is the fulfillment center so grand, it is also setting a precedent for using green and sustainable methods. Use of Solar panels, EV'S are why  is the future of e-commerce.   EarthDay 🌎 ","jyothi_jha,Flipkart,_kalyan_k,rajneeeshkumar",EarthDay,POSITIVE,joy
390," Hello Everyone friends,
Today EarthDay Save the #Earth .
Our planet 🌵 to lungs one is green the other is blue.
To know, Must read ""Gyan Ganga"".
To Know, Download our Official App  ""Sant Rampal Ji Maharaj"" from Google Play Store.
#SantRampalJiMaharaj #motivational 
 ","SurjeetBaghel19,NeerajDasi1","EarthDay,Earth,SantRampalJiMaharaj,motivational",NEGATIVE,joy
394,Every day is EarthDay🌏! #happyEarthDay2022! ,Uknown,"EarthDay,happyEarthDay2022",POSITIVE,joy
399, Visualizing the Biomass of Life 🦊🦀🐬🦎🦃🐓🦩🦆🌳☘️🍄🌼🌍 #biomass #infographic #dataviz #datavisualization EarthDay22 #earthday #sciart #life #illustration #art #science #data ,markabelan,"biomass,infographic,dataviz,datavisualization,EarthDay22,earthday,sciart,life,illustration,art,science,data",NEGATIVE,joy
400,"Everyone is connected to Soil.
Let's #SaveSoil together.🙏🏻🌍🌱
#MyConnectWithSoil EarthDay ",Uknown,"SaveSoil,MyConnectWithSoil,EarthDay",NEGATIVE,optimism
401," This EarthDay 🌎, we're grateful for all the relationships we’ve cultivated with our customers and we want to highlight one: , a female-founded #ecommerce business strongly focused on #sustainability. We honor them for all they are doing to protect our planet. ⭐ ","EXCOPlatform,CANAVABRAND","EarthDay,ecommerce,sustainability",POSITIVE,optimism
410, An expression which cannot be put into words….An art so marvellous ‼️❤️❤️💚💚🤎🤎  #SaveSoil #Consciousplanet #Sadhguru #JourneyForSoil  #LetsMakeItHappen  Come together because we have no other planet to go  🌎HAPPY EARTH DAY🌎 ,Chitragandha99,"SaveSoil,Consciousplanet,Sadhguru,JourneyForSoil,LetsMakeItHappen",POSITIVE,joy
411," Happy World Earth Day!

Remember that Earth is our only home so let us adhere strictly to the following rules 👇🏽

✅ Preserve the Earth.

✅ Protect the Earth.

✅ Conserve the Earth.

✅ Invest in the Earth.

#worldearthday
#investinourplanet
#worldearthday2022☘️🌿🍀🌲🌎 ",alluvia_uc,"worldearthday,investinourplanet,worldearthday2022",POSITIVE,joy
412," Happy EarthDay! If you're worried about the climate crisis, we can hold your hand 🥺 #LetTheEarthBreath #LetTheEarthBreathe

This morning someone asked me ""what are your hopes for Earth Day?"" and I didn't know how to respond. There's so much despair, fear, and anger lately. ",mitzijonelle,"EarthDay,LetTheEarthBreath,LetTheEarthBreathe",NEGATIVE,sadness
418," Happy Earth Day,  Fans!  Today is a great reminder to do your part to protect the planet. I’m excited to do my part, at the ballpark and in the community, by joining SC Johnson to launch the Brewers Sustainability Council! Stay tuned🌍   EarthDay ","bruter24,Brewers,SCJohnson,players4planet",EarthDay,POSITIVE,joy
428," Sadhguru driving 30,000 kms on a BMW K 1600 GT 🏍 is what people think, but here is what he’s actually doing out of his overflowing love for Mother Earth and for future generations 🌸🌿🌎 #MyConnectWithSoil #SaveSoil #Sadhguru EarthDay #JourneyForSoil   ","iampragyansh,cpsavesoil,SadhguruJV","MyConnectWithSoil,SaveSoil,Sadhguru,EarthDay,JourneyForSoil",NEGATIVE,optimism
436,"Earlier this week, my 4th graders performed an Earth Day themed play called “Sea Turtle Spring”. 🌊 🐢 
They rehearsed with their “company” all last week as some great fluency practice! 🎭 
#readerstheater
#AlwaysLakeOrion
    ","FrancieJo1,LkOrionSchools,OrionOaksElem,dimeo_kate","readerstheater,AlwaysLakeOrion",POSITIVE,joy
439,"Happy EarthDay! 🌎🌳 

We've been busy #GreeningLiverpool with      - with hundreds and thousands of trees planted so far ","merseyforest,urbangreenUP,lpoolcouncil,LiverpoolParks","EarthDay,GreeningLiverpool",POSITIVE,joy
441," The earth laughs in flowers.

Ralph Waldo Emerson
EarthDay 
📸 pucchii k ",ramblingsloa,EarthDay,POSITIVE,joy
444," Earth is 4.5 Billion years old. It's home to 7.8 Billion people &amp; 8.7 million other species.

70% of the Earth’s surface is covered with water. 80% of land biodiversity is in our forests.

On EarthDay join the movement to protect nature for our children. 🎶🔊

#DemVoice1  #Fresh ",TonyHussein4,"EarthDay,DemVoice1,Fresh",POSITIVE,optimism
449," We’re sending $100 to one person who RTs and follows ! Have a Millions Card? Drop your M$ for an extra entry.

Happy EarthDay! 🌏 ","Millions,Millions",EarthDay,NEGATIVE,joy
453,"Earth Day on Apple site. 🌱

EarthDay #Apple ",Uknown,"EarthDay,Apple",NEGATIVE,joy
454,Happy Earth Day Apr. 22th 2022! 🌎 #MyConnectWithSoil #SaveSoil #SaveSoilMovement  #SauvonsLesSols ,cpsavesoil,"MyConnectWithSoil,SaveSoil,SaveSoilMovement,SauvonsLesSols",POSITIVE,joy
460,"💚It’s EarthDay where we celebrate the Earth, learn about the environment and take action 

💚Let’s help do out part! What are you going to do today to celebrate? ",Uknown,EarthDay,POSITIVE,optimism
467," Happy EarthDay 🌍💚

 Goodwill Ambassador for Biodiversity &amp; award winning actor,  explains how conservation requires a holistic approach, one that incorporates development, ecosystem protection and restoration.

#InvestInOurPlanet for #GenerationRestoration ","UNEP,UN,EdwardNorton","EarthDay,InvestInOurPlanet,GenerationRestoration",POSITIVE,optimism
481," GM! 🌐 Happy Earth Day! 🌐

Here’s your #LocalWeather. This week we:
-Announced the first batch of Motivation winners
-Let you know our Project Forecast will be out soon!
-Held a super fun AMA in our Discord.

Let’s celebrate today with some allowlist giveaways - who’s ready? 🌍",localweather,LocalWeather,POSITIVE,joy
485,"Today on EarthDay, I’m thinking of all the ways we can make LA cleaner, greener, and more equitable. It’s time to fully invest in our future and implement clean energy policies and practices. As Supervisor, I'll be taking action - there’s too much on the line. 🌎 🌿 ",Uknown,EarthDay,NEGATIVE,optimism
489," For EarthDay, we at #NetAcad want to highlight the  importance of recycling. Like our refurbished friend here. 💧 Be a ""catalyst"" for change. 😉 ",CiscoNetAcad,"EarthDay,NetAcad",POSITIVE,optimism
